# ----------------------------------------
# Report CSV Export
# Account: Uttam Dangi
# Property: https://sites.google.com/view/aboutupes/home
# ----------------------------------------
#  
# Start date: 20230322
# End date: 20230418
Nth day,Average engagement time
0000,0
0001,0
0002,0
0003,0
0004,0
0005,0
0006,0
0007,0
0008,0
0009,0
0010,0
0011,0
0012,0
0013,9.5
0014,0
0015,0
0016,0
0017,0
0018,0
0019,0
0020,13
0021,0
0022,0
0023,0
0024,0
0025,0
0026,0
0027,3.5

# Start date: 20230322
# End date: 20230418
Nth day,Engaged sessions per user
0000,0
0001,0
0002,0
0003,0
0004,0
0005,0
0006,0
0007,0
0008,0
0009,0
0010,0
0011,0
0012,0
0013,1
0014,0
0015,0
0016,0
0017,0
0018,0
0019,0
0020,1
0021,0
0022,0
0023,0
0024,0
0025,0
0026,0
0027,0.5

# Start date: 20230322
# End date: 20230418
Nth day,Average engagement time per session
0000,0
0001,0
0002,0
0003,0
0004,0
0005,0
0006,0
0007,0
0008,0
0009,0
0010,0
0011,0
0012,0
0013,4.75
0014,0
0015,0
0016,0
0017,0
0018,0
0019,0
0020,13
0021,0
0022,0
0023,0
0024,0
0025,0
0026,0
0027,1.4

#  
# Start date: 20230322
# End date: 20230418
Nth day,Views
0000,0
0001,0
0002,0
0003,0
0004,0
0005,0
0006,0
0007,0
0008,0
0009,0
0010,0
0011,0
0012,0
0013,7
0014,0
0015,0
0016,0
0017,0
0018,0
0019,0
0020,1
0021,0
0022,0
0023,0
0024,0
0025,0
0026,0
0027,7

# Start date: 20230322
# End date: 20230418
Nth day,Event count
0000,0
0001,0
0002,0
0003,0
0004,0
0005,0
0006,0
0007,0
0008,0
0009,0
0010,0
0011,0
0012,0
0013,21
0014,0
0015,0
0016,0
0017,0
0018,0
0019,0
0020,4
0021,0
0022,0
0023,0
0024,0
0025,0
0026,0
0027,16

#  
# Start date: 20230322
# End date: 20230418
Event name,Event count
page_view,15
session_start,10
user_engagement,7
first_visit,5
scroll,4

#  
# Start date: 20230322
# End date: 20230418
Page title and screen class,Views
my university,10
Your Name - About,3
my university - About,2

# How are active users trending?
# Start date: 20230322
# End date: 20230418
Nth day,30 days,7 days,1 day
0000,0,0,0
0001,0,0,0
0002,0,0,0
0003,0,0,0
0004,0,0,0
0005,0,0,0
0006,0,0,0
0007,0,0,0
0008,0,0,0
0009,0,0,0
0010,0,0,0
0011,0,0,0
0012,0,0,0
0013,2,2,2
0014,2,2,0
0015,2,2,0
0016,2,2,0
0017,2,2,0
0018,2,2,0
0019,2,2,0
0020,3,1,1
0021,3,1,0
0022,3,1,0
0023,3,1,0
0024,3,1,0
0025,3,1,0
0026,3,1,0
0027,5,2,2

#  
# Start date: 20230322
# End date: 20230418
Nth day,DAU / MAU,DAU / WAU,WAU / MAU
0000,0,0,0
0001,0,0,0
0002,0,0,0
0003,0,0,0
0004,0,0,0
0005,0,0,0
0006,0,0,0
0007,0,0,0
0008,0,0,0
0009,0,0,0
0010,0,0,0
0011,0,0,0
0012,0,0,0
0013,1,1,1
0014,0,0,1
0015,0,0,1
0016,0,0,1
0017,0,0,1
0018,0,0,1
0019,0,0,1
0020,0.3333333333333333,1,0.3333333333333333
0021,0,0,0.3333333333333333
0022,0,0,0.3333333333333333
0023,0,0,0.3333333333333333
0024,0,0,0.3333333333333333
0025,0,0,0.3333333333333333
0026,0,0,0.3333333333333333
0027,0.4,1,0.4
